id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/27db45de-dce9-4afa-896b-78120c79ecf3,,Health and Human Services,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/c01d9953-33e5-4d5e-b67c-c6cce1b894da,,Illinois,103rd
ocd-vote/3dce64c9-d6bb-4932-b8b3-993247b3b78d,,Public Health,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/ffc127b2-1009-412a-8c77-1f24dec3b21d,,Illinois,103rd
ocd-vote/b33b4eab-ed62-4d8e-a3c5-f812ba86605d,,Public Health,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/fdebf468-bda3-4c64-a00c-757a8d8d94f2,,Illinois,103rd
ocd-vote/a141925f-7026-41f3-b57c-777406659181,,Health and Human Services,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/75ce7bf8-95df-41b5-bad6-666563499377,,Illinois,103rd
ocd-vote/5c506a4d-11d2-499c-bd16-ee4f8550224c,,Higher Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/834688ea-687b-4e63-81a4-5e7539fd0dff,,Illinois,103rd
ocd-vote/372c5f4c-c180-4183-878a-fd49bf39e5f7,,Insurance,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/c79003e0-ae94-4f53-922b-0ad485ecdd38,,Illinois,103rd
ocd-vote/819761b7-d2dd-432a-86b8-b99de34d6742,,Insurance,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/afe6aae8-c4d4-433c-8615-d4b30a65d637,,Illinois,103rd
ocd-vote/1b18754a-290b-4eff-9b84-cd390e95342a,,Transportation,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/f4bcbc33-903a-430b-b718-f2ab3a6eeab8,,Illinois,103rd
ocd-vote/c7911cfb-2cc5-409e-8c35-88d3f6ff2246,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/a46a489a-caaa-495d-9c79-464902478689,,Illinois,103rd
ocd-vote/66bdd70f-c912-4d36-9672-6cb87b2e94f5,,Higher Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/4128b736-7118-460d-8ad0-b338393e3ee1,,Illinois,103rd
ocd-vote/d9f0f1c9-613c-470b-9325-6e0476b00d10,,Transportation,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/074709fa-32eb-4a64-80c4-0e2b567c56f8,,Illinois,103rd
ocd-vote/a5987b12-ecba-4e6d-a450-fff5b383d1b3,,Transportation,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/87900518-b5cb-47f8-b26b-837e1fe56108,,Illinois,103rd
ocd-vote/5aa4bfa6-038f-4d3a-89bd-c5cf26ea91e1,,Transportation,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/1bb123f4-5f56-4ed3-afc1-42ae5ce5225d,,Illinois,103rd
ocd-vote/be12d719-89ad-4c4e-aae5-506ef1a8f7b3,,Health and Human Services,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/dd131618-a906-4e13-a144-767e7714afd4,,Illinois,103rd
ocd-vote/40d5818d-f0e7-4a92-9804-c06f4720734d,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/a86d57cb-2a93-4178-9cd7-d3ff5d00c997,,Illinois,103rd
ocd-vote/3e17de07-a0ce-47c8-92b0-d1a2258a7f62,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/00fb2b97-c3c7-4678-9e25-159afe133f5f,,Illinois,103rd
ocd-vote/065a3e8d-4234-4ef6-bf35-130dbb59052f,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/ef08796e-b87b-45d1-937a-10f8bcbaa951,,Illinois,103rd
ocd-vote/5d770928-b183-4318-9ded-8a9d6dc7488d,,Health Care Availability & Access,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/eedcbca1-5b01-4c08-a3b5-3a90e7c7b349,,Illinois,103rd
ocd-vote/d2243f0b-b359-408a-9ee8-c03afc0ab256,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/290d95c4-9c96-4244-9cde-ecd4b04b78a5,,Illinois,103rd
ocd-vote/63539aa9-d157-4737-801e-ba3de32767fe,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/290d95c4-9c96-4244-9cde-ecd4b04b78a5,,Illinois,103rd
ocd-vote/d52bdeb3-b835-4c39-a005-c9026cf05f58,,Higher Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/834688ea-687b-4e63-81a4-5e7539fd0dff,,Illinois,103rd
ocd-vote/fd05933d-a1fd-4cb6-b1c6-b2ff084bdafb,,Cities & Villages,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/049a248f-d440-4bb4-959d-3bf2bcd2f915,,Illinois,103rd
ocd-vote/4eb80edf-0a44-4ce2-b2df-3702bd5c8685,,Judiciary,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/4b491e22-6de3-4b16-821e-bcc97bca56c1,,Illinois,103rd
ocd-vote/50d6ffff-2f27-46ca-bd86-6453dc6356b8,,Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/3d98ffb5-ed53-4206-bc71-2dcd105cf237,,Illinois,103rd
ocd-vote/da99731c-77f1-4b8d-ac8b-21da67df9747,,Insurance,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/2875b15c-f175-4cf5-a4d7-f3bfe017c43b,,Illinois,103rd
ocd-vote/8c4ccc42-c06c-4ce0-94fc-d8b3c8d3533a,,Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/9c37e3ca-4dd5-4163-b763-7d000a60803b,,Illinois,103rd
