id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/3bc41683-0bfd-4627-b4bd-ce9a4cc15e6e,SR 24,MEMORIAL-DON SNEIDER,['resolution'],[],104th,Illinois,upper
ocd-bill/47fd9b9f-7a4f-47a8-a927-7401fb4e0ad0,SB 79,$ISBE-MENTAL HEALTH SERVICES,['bill'],[],104th,Illinois,upper
ocd-bill/c8ae8cc9-146a-46ae-8cbd-17226af9f102,SR 18,MEMORIALA-RUTH A. PRIDE,['resolution'],[],104th,Illinois,upper
ocd-bill/e1c239c3-f93b-4c60-879c-d7b84e772e05,SB 76,GOV IMMUNITY-DATA BREACHES,['bill'],[],104th,Illinois,upper
ocd-bill/0c07f4b3-b884-4bb2-94b9-9028be882b4b,SJRCA 1,CON AMEND-TERM LIMITS,['constitutional amendment'],[],104th,Illinois,upper
ocd-bill/e67e67ed-460f-4472-90e5-e1d09f9bb387,SB 238,FANTASY SPORTS PROTECTION ACT,['bill'],[],104th,Illinois,upper
ocd-bill/d029da56-7e62-4b38-9fc9-4a27b2fc0a90,HB 1813,MUNI CD-ACCESSORY DWELLINGS,['bill'],[],104th,Illinois,lower
ocd-bill/526208ab-28d7-48da-8b21-5347a55e80f8,SB 210,DFPR-LICENSE EXTENSION,['bill'],[],104th,Illinois,upper
ocd-bill/790892d3-e59d-4e1d-a3d1-9879a08f20bf,SB 201,CONSTRUCTION SAFE DETOUR ACT,['bill'],[],104th,Illinois,upper
ocd-bill/866e29db-153f-4a36-8edb-187b01471e89,SB 200,STATE EMP GRP HLTH INS-DENTAL,['bill'],[],104th,Illinois,upper
ocd-bill/85550d65-daf6-4cc2-9f2a-a09bea996cda,SB 35,WORK COMP-SOLE PROPRIETORS,['bill'],[],104th,Illinois,upper
ocd-bill/130045c4-f902-441b-bd58-5319fa3d3d41,HR 53,MEMORIAL-GERALD S. SCHNEIDER,['resolution'],[],104th,Illinois,lower
ocd-bill/0433bb87-ead9-4c96-96fb-1abad25d645c,SB 212,NURSING MOTHERS IN WORKPLACE,['bill'],[],104th,Illinois,upper
ocd-bill/101275d0-64be-43be-8046-dbe425c7f337,HB 1470,WILD CD-RIFLE AMMO LIMIT,['bill'],[],104th,Illinois,lower
ocd-bill/0c147949-f6aa-40c9-aa90-d7f0706e4f8e,HB 1,HEMP CANNABINOIDS-MINORS,['bill'],[],104th,Illinois,lower
ocd-bill/276256ba-54a0-4449-a6bf-cf6082547074,HB 1613,UTILITIES-INFRASTRUCTURE PLANT,['bill'],[],104th,Illinois,lower
ocd-bill/914ecb11-5db4-4731-8e85-cec8be43a201,SB 1176,ARPUR-DATE CHANGE,['bill'],[],104th,Illinois,upper
ocd-bill/9eb15fe4-f1ad-4057-856b-98fb1b0ec4f3,SB 1515,ATTORNEY GENERAL-BLACK WOMEN,['bill'],[],104th,Illinois,upper
ocd-bill/ba59ccb5-b24a-4065-9286-681adc4be91e,SB 1294,PROCUREMENT-OUTSIDE OF U.S.,['bill'],[],104th,Illinois,upper
ocd-bill/3378ba46-8d3c-4719-ac0e-a6b4ff089f3a,SB 1180,IL RACING BOARD-VARIOUS,['bill'],[],104th,Illinois,upper
ocd-bill/aabc4dc9-d124-477c-b67b-13898e7d271d,SB 1626,LIMITS-CHILDHOOD SEX ABUSE,['bill'],[],104th,Illinois,upper
ocd-bill/c6dcdd48-49b4-4bc9-8800-90c4b783ba96,SB 1542,DOIT-POWERS AND DUTIES,['bill'],[],104th,Illinois,upper
ocd-bill/4b93c78f-1d93-4ba4-87b9-31723e4a3438,SB 1330,ELEC CD-WEBSITE INFORMATION,['bill'],[],104th,Illinois,upper
ocd-bill/3b781dab-fec2-42d3-9b47-3108f1122112,SB 1526,PROP TX-ENERGY STORAGE,['bill'],[],104th,Illinois,upper
ocd-bill/8ec17fae-89c4-420a-90d1-a5b865a70373,SB 1535,CIVIL ACTION-STRAW PURCHASER,['bill'],[],104th,Illinois,upper
ocd-bill/d75d93e5-042f-4967-8fcf-13d816ad5d31,HB 1099,PROP TAX-HOMESTEAD EXEMPTION,['bill'],[],104th,Illinois,lower
ocd-bill/ce200c66-adbd-45a8-9e70-83b87c837bd0,SB 280,CONTROLLED SUBSTANCES-FENTANYL,['bill'],[],104th,Illinois,upper
ocd-bill/279a4ad4-8926-4c51-90a4-a2f7b2f73b5f,SB 1528,MUNI CD-ALDERPERSON ELECTION,['bill'],[],104th,Illinois,upper
ocd-bill/77a0c548-4d11-4c16-aeb0-7b4fa732300f,SB 1532,ELEC CD-EARLY VOTING LINE,['bill'],[],104th,Illinois,upper
ocd-bill/8b540a42-6b8a-4628-8901-3503bb1a4075,SB 1514,REVENUE-MEGAPROJECT,['bill'],[],104th,Illinois,upper
ocd-bill/7be6d9c1-b8fb-4b8d-ac4a-89f0a36c6590,HB 1073,COLL STUDENT IMMUNIZATION-TDAP,['bill'],[],104th,Illinois,lower
ocd-bill/35c90076-bb00-49a5-b4d7-5b2b6571a988,SB 1556,SCH CD-ARTIFICIAL INTELLIGENCE,['bill'],[],104th,Illinois,upper
ocd-bill/1605aa4e-df98-4ef1-a98a-43a69985ef1a,HB 2529,PROP TX-SENIOR EXEMPT,['bill'],[],104th,Illinois,lower
ocd-bill/9f772035-9247-48c0-a044-0b75401dcab4,SB 1591,LEADER-FOLLOWER WORK ZONE VEH,['bill'],[],104th,Illinois,upper
ocd-bill/0c8990b2-6e54-470b-91ae-ecd5a3cb1042,SB 1630,PEN CD-SERS-CONTRACT SERVICE,['bill'],[],104th,Illinois,upper
ocd-bill/98dd6859-74bd-447e-86eb-05086634d5ed,SB 1600,GOVERNMENT-TECH,['bill'],[],104th,Illinois,upper
ocd-bill/1b15e089-875d-4f9e-9870-99d5cb581ab3,SB 1879,NATL RESOURCES & AG LEGACY ACT,['bill'],[],104th,Illinois,upper
ocd-bill/ee5faba8-f39f-4bf4-8a27-0931edf1b94e,AM 1040097,APPOINT-BRAIN P. GRANAHAN,['appointment'],[],104th,Illinois,upper
ocd-bill/206859b8-9c27-4d83-8439-d79637380405,SB 213,STRENGTHENING COMMUNITY MEDIA,['bill'],[],104th,Illinois,upper
ocd-bill/bfda43d4-7809-414a-a993-849a1502626b,SB 188,OUT-OF-STATE INVOL ADM-REPEAL,['bill'],[],104th,Illinois,upper
ocd-bill/5e9f21c1-6c94-4a13-afee-ed852e1f4647,HB 2521,SCH CD-CRIMINAL HISTORY CHECK,['bill'],[],104th,Illinois,lower
ocd-bill/44c95d56-5030-43b2-8b65-9fa866c08ec8,HB 2524,PEN CD-DE FACTO FIREFIGHTER,['bill'],[],104th,Illinois,lower
