id,vote_event_id,option,value
e843f355-e1ba-4f0f-be89-5fa0513a326f,ocd-vote/692db0ca-1f4b-430c-914c-3200a2fca244,no,0
006f6d97-a242-4587-b5a2-77f0d9231d76,ocd-vote/692db0ca-1f4b-430c-914c-3200a2fca244,yes,56
93c07751-151e-4e17-a090-baa68bb21dfa,ocd-vote/15ad3ff3-5617-4be0-9c9e-b1ba81689107,not voting,3
ebd95782-a7c0-4a43-bfd0-afc5f03294b7,ocd-vote/15ad3ff3-5617-4be0-9c9e-b1ba81689107,absent,0
0a8d172c-1e81-4d2c-9cb7-bb8ab05d966b,ocd-vote/15ad3ff3-5617-4be0-9c9e-b1ba81689107,excused,16
c1fb5a46-9bde-4ca2-a85a-c9c5bf5011f4,ocd-vote/15ad3ff3-5617-4be0-9c9e-b1ba81689107,other,0
44f70c3c-f9a5-47df-bd72-c11150e59019,ocd-vote/15ad3ff3-5617-4be0-9c9e-b1ba81689107,no,0
e9959e41-2971-4ccd-aa1e-7a952935b586,ocd-vote/15ad3ff3-5617-4be0-9c9e-b1ba81689107,yes,99
b0677eda-cbc9-4bb9-a6d5-cc05397cd088,ocd-vote/d4e69699-6486-46e9-9a76-bd6f88c5999d,absent,0
e4938ec0-046a-4697-ad7b-419b63c66774,ocd-vote/d4e69699-6486-46e9-9a76-bd6f88c5999d,excused,0
f59686b2-0f3a-44f7-8631-4c8e93052d2d,ocd-vote/d4e69699-6486-46e9-9a76-bd6f88c5999d,other,0
5a356cc2-8afc-40dc-8be0-2a651f8297cf,ocd-vote/d4e69699-6486-46e9-9a76-bd6f88c5999d,no,0
bbae941b-8adc-45a9-814d-dcbe1dc91527,ocd-vote/d4e69699-6486-46e9-9a76-bd6f88c5999d,yes,57
250f6a05-e7d5-4606-abd8-6b096cb29194,ocd-vote/aec04d15-08aa-4792-acc7-f28b03ce8f4e,not voting,3
